Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,Purchase_Link
21,"Resistor, 120K, 0.125W, 1%, 0805",R_120K,R26,R_120 DNP,R_0805_OEM,1,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Value,RMCF0805JT200RCT-ND,DK,https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND,
22,"Resistor, 1M, 0.125W, 5%, 0805",R_1M,R1 R13,R_1M,R_0805_OEM,2,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RMCF0805JT1M00CT-ND,DK,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT1M00/RMCF0805JT1M00CT-ND/1942600,
23,"Resistor, 1K, 0.25W, 1%, 0805",R_1K,R2 R6 R20 R23 R27,R_1k,R_0805_OEM,5,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RNCP0805FTD1K00CT-ND,DK,https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND,
24,"Resistor, 2.2K, 0.125W, 1%, 0805",R_2.2K,R7 R16 R17,R_2.2k,R_0805_OEM,3,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Value,RMCF0805FT2K20CT-ND,DK,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805FT2K20/RMCF0805FT2K20CT-ND/1942387,
25,"Resistor, 200, 0.125W, 5%, 0805",R_200,R8 R10 R11 R12 R14 R_1 R_2,R_200,R_0805_OEM,7,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Value,RMCF0805JT200RCT-ND P100KCCT-ND,DK,https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF1003V/P100KCCT-ND/119551,
26,"Resistor, 22K, 0.125W, 5%, 0805",R_22K,R15 R19,R_22K,R_0805_OEM,2,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,,RMCF0805JT22K0CT-ND,DK,https://www.digikey.com/products/en?keywords=RMCF0805JT22K0CT-ND,
27,"Resistor, 51.1K, 0.125W, 1%, 0805",R_51.1K,R5,R_51.1k,R_0805_OEM,1,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,Value,P51.1KCCT-ND,DK,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-6ENF5112V/P51.1KCCT-ND/119466,
28,"High speed CAN transceiver, 1Mb/s",MCP2561-E_SN,U4,CAN_Transceiver,SOIC-8_3.9x4.9mm_Pitch1.27mm_OEM,1,http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en561044,Value,MCP2561-E/SN-ND,DK,https://www.digikey.com/products/en?keywords=mcp2561-e%2Fsn,
29,"Op-amp, general purpose",MCP6001,U1 U3,MCP6001,SOT-23-5_OEM,2,http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf,Value,MCP6001T-I/OTCT-ND,N/A,https://www.digikey.com/product-detail/en/microchip-technology/MCP6001T-I-OT/MCP6001T-I-OTCT-ND/697158,
30,"Buck converter, 4.5-17V input, adj 0.76-7V output, 1A, 580kHz",TPS561201,U2,TPS561201,SOT-23-6_OEM,1,http://www.ti.com/lit/ds/symlink/tps561201.pdf,Value,TPS561201,DK,https://www.digikey.com/products/en?keywords=296-46928-1-ND,
31,CRYSTAL 16.0000MHZ 18PF SMD,Crystal_SMD,Y1,Crystal_SMD,Crystal_SMD_FA238,1,http://www.txccorp.com/download/products/quartz_crystals/2015TXC_7M_17.pdf,Value,887-1125-1-ND,DK,https://www.digikey.com/product-detail/en/txc-corporation/7M-16.000MAAJ-T/887-1125-1-ND/2119014,





Component Groups:,31
Component Count:,70
Fitted Components:,70
Number of PCBs:,1
Total components:,70
Schematic Version:,
Schematic Date:,
BoM Date:,Sat 01 Dec 2018 11:14:35 AM EST
Schematic Source:,/home/awenstrup/Documents/Formula/MKIV-Boards/Boards/Throttle/REV3.1/throttle.sch
KiCad Version:,Eeschema 5.0.1-33cea8e~68~ubuntu18.04.1
