Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,MFN,MPN,PurchasingLink,Package,Link,Digi-key Part Number,Purchasing Link
22,b'',b'R_25K',b'R8',b'R_25K',b'R_0805_OEM',b'1',b'https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773200-1&DocType=DS&DocLang=English',b'A124124CT-ND',b'',b'https://www.digikey.com/product-detail/en/te-connectivity-passive-product/CPF-A-0805B25KE/A124124CT-ND/5970044',b'',b'',b'CPF-A-0805B25KE',b''
23,"b'High speed CAN transceiver, 1Mb/s'",b'MCP2561-E_SN',b'U1',b'CAN_Transceiver',b'SOIC-8_3.9x4.9mm_Pitch1.27mm_OEM',b'1',b'http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en561044',b'Digi-Key',b'MCP2561-E/SN-ND',b'https://www.digikey.com/products/en?keywords=mcp2561-e%2Fsn',b'Value',b'',b'',b''
24,"b'Op-amp, general purpose'",b'LMV341',b'U3',b'LMV341',b'SOT-23-6',b'1',b'http://www.ti.com/lit/ds/symlink/lmv341.pdf',b'DK',b'296-17843-1-ND',b'https://www.digikey.com/product-detail/en/texas-instruments/LMV341IDBVR/296-17843-1-ND/738777',b'',b'',b'',b''
25,b'',b'SK812',b'U7',b'SK812',b'SK6812',b'1',b'https://cdn-shop.adafruit.com/product-files/1138/SK6812+LED+datasheet+.pdf',b'',b'',b'https://www.digikey.com/product-detail/en/adafruit-industries-llc/1655/1528-1104-ND/5154679',b'',b'',b'',b''
26,b'',b'TPS560430YF',b'U2',b'TPS560430YF',b'SOT-23-6_Handsoldering',b'1',b'http://www.ti.com/lit/ds/symlink/tps560430.pdf',b'TPS560430YFDBVR-ND',b'TPS560430YFDBVR',b'',b'',b'',b'',b'https://www.digikey.com/product-detail/en/texas-instruments/TPS560430XDBVR/296-50420-6-ND/9685813'
27,b'',b'USB_MicroB',b'U8',b'USB_MicroB',b'USB_Micro-B_Molex-105017-0001',b'1',b'https://www.molex.com/pdm_docs/sd/1050170001_sd.pdf',b'DK',b'WM1399CT-ND',b'https://www.digikey.com/product-detail/en/molex-llc/1050170001/WM1399CT-ND/2350885',b'',b'',b'',b''
28,b'CRYSTAL 16.0000MHZ 18PF SMD',b'Crystal_SMD',b'Y1',b'Crystal_SMD',b'Crystal_SMD_FA238',b'1',b'https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238V_en.pdf',b'Digi-Key',b'SER3686CT-ND',b'https://www.digikey.com/products/en?keywords=SER3686CT-ND',b'Value',b'',b'',b''





Component Groups:,28
Component Count:,44
Fitted Components:,44
Number of PCBs:,1
Total components:,44
Schematic Version:,
Schematic Date:,
BoM Date:,b'Sat 30 Mar 2019 09:28:12 AM EDT'
Schematic Source:,b'/home/william/Desktop/MKIV-Boards/Boards/Sensing_Module/sensing_board.sch'
KiCad Version:,b'Eeschema 5.0.0-fee4fd1~66~ubuntu16.04.1'
