Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,Purchasing Link,MFN,PurchasingLink,DK,Purchase_Link
29,CRYSTAL 16.0000MHZ 18PF SMD,Crystal_SMD,Y1,Crystal_SMD,Crystal_SMD_FA238,1,https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238V_en.pdf,Value,SER3686CT-ND,,Digi-Key,https://www.digikey.com/products/en?keywords=SER3686CT-ND,,





Component Groups:,29
Component Count:,76
Fitted Components:,76
Number of PCBs:,1
Total components:,76
Schematic Version:,1
Schematic Date:,2018-11-01
BoM Date:,Sun 10 Feb 2019 09:32:41 AM EST
Schematic Source:,/home/william/Desktop/MKIV-Boards/Boards/AIR_Control_Board/AIR_Control_Board.sch
KiCad Version:,Eeschema 5.0.0-fee4fd1~66~ubuntu16.04.1
